model,model_key,params,provider,question_id,type,domain,difficulty,score,score_pct,latency
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F01,factual,ai_ml,easy,3,100.0,18.830721616744995
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F02,factual,ai_ml,easy,3,100.0,16.415058374404907
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F03,factual,ai_ml,easy,3,100.0,7.914015769958496
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F04,factual,ai_ml,easy,3,100.0,23.86108660697937
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F05,factual,ai_ml,medium,3,100.0,36.56716704368591
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F06,factual,ai_ml,medium,3,100.0,43.51258182525635
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F07,factual,ai_ml,easy,3,100.0,26.192718982696533
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F08,factual,ai_ml,easy,3,100.0,21.890383005142212
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F09,factual,ai_ml,medium,3,100.0,24.032384157180786
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F10,factual,ai_ml,easy,3,100.0,15.351763725280762
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F11,factual,materials,easy,3,100.0,29.28052020072937
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F12,factual,materials,hard,3,100.0,15.14022707939148
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F13,factual,materials,medium,3,100.0,17.78179907798767
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F14,factual,ai_ml,medium,3,100.0,8.559271574020386
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F15,factual,ai_ml,easy,3,100.0,25.006616830825806
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F16,factual,ai_ml,medium,2,66.66666666666666,19.69890809059143
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F17,factual,materials,hard,3,100.0,17.655603885650635
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F18,factual,ai_ml,hard,3,100.0,13.515286445617676
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F19,factual,ai_ml,medium,3,100.0,22.47120499610901
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),F20,factual,general_science,easy,3,100.0,17.969747304916382
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C01,conceptual,ai_ml,medium,3,100.0,9.139561891555786
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C02,conceptual,ai_ml,easy,3,100.0,9.547420740127563
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C03,conceptual,ai_ml,easy,3,100.0,8.838821172714233
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C04,conceptual,ai_ml,medium,2,66.66666666666666,10.047636270523071
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C05,conceptual,ai_ml,hard,3,100.0,19.172441244125366
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C06,conceptual,ai_ml,medium,3,100.0,27.338929176330566
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C07,conceptual,materials,hard,2,66.66666666666666,17.100176572799683
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C08,conceptual,ai_ml,medium,3,100.0,15.637046575546265
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C09,conceptual,ai_ml,medium,3,100.0,23.388405561447144
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C10,conceptual,cross_domain,medium,3,100.0,8.588406324386597
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C11,conceptual,ai_ml,hard,3,100.0,26.765053510665894
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C12,conceptual,ai_ml,medium,3,100.0,14.641956329345703
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C13,conceptual,general_science,easy,3,100.0,16.786306858062744
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C14,conceptual,ai_ml,medium,3,100.0,8.745381355285645
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C15,conceptual,ai_ml,hard,3,100.0,24.947206735610962
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C16,conceptual,cross_domain,medium,3,100.0,24.110950231552124
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C17,conceptual,ai_ml,medium,3,100.0,22.27016854286194
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C18,conceptual,ai_ml,medium,3,100.0,13.294155359268188
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C19,conceptual,materials,hard,3,100.0,9.492639541625977
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),C20,conceptual,ai_ml,medium,3,100.0,16.54642152786255
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N01,numerical,ai_ml,easy,3,100.0,6.933169364929199
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N02,numerical,ai_ml,easy,3,100.0,14.298836708068848
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N03,numerical,ai_ml,medium,3,100.0,8.004775285720825
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N04,numerical,ai_ml,hard,3,100.0,23.188570499420166
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N05,numerical,ai_ml,medium,3,100.0,19.093067169189453
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N06,numerical,general_science,easy,3,100.0,19.956560134887695
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N07,numerical,ai_ml,medium,3,100.0,27.14282989501953
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N08,numerical,ai_ml,medium,2,66.66666666666666,14.278024435043335
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N09,numerical,ai_ml,easy,3,100.0,18.059682607650757
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N10,numerical,ai_ml,easy,3,100.0,23.137750387191772
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N11,numerical,ai_ml,easy,2,66.66666666666666,28.76958203315735
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N12,numerical,general_science,hard,3,100.0,12.517951488494873
